125.27.179.88,36127
180.250.247.124,23500
159.224.226.164,33803
124.41.211.180,55942
43.255.113.170,49341
202.131.229.98,52343
5.59.141.68,61602
46.219.80.142,30156
217.182.51.231,8080
176.197.87.50,31203
181.211.245.74,43853
212.200.27.134,8080
202.138.236.35,40089
185.94.215.235,53281
181.129.50.138,50872
93.91.162.17,60472
176.63.205.248,33993
114.134.186.59,39777
41.160.252.116,53281
178.150.196.41,37081
41.193.22.153,39328
3.17.57.58,3128
35.228.193.40,8080
103.216.50.157,8080
134.119.205.173,8080
187.17.145.237,30279
217.182.120.162,1080
43.229.72.249,38474
138.197.157.44,8080
138.68.173.29,8080
118.173.232.170,44029
165.98.53.38,35332
67.205.149.230,8080
81.196.41.75,57185
176.9.119.170,3128
119.82.252.76,42666
80.152.210.221,3128
177.86.158.102,56029
119.82.253.103,44282
193.117.138.126,48523
138.197.157.32,8080
139.59.62.255,8080
192.241.245.207,8080
195.138.92.152,35245
1.20.97.96,54205
134.119.188.155,8080
139.59.53.105,8080
203.192.240.171,8888
200.225.140.130,47513
207.154.231.217,3128
95.88.192.108,3128
27.255.13.134,47343
14.207.36.96,3128
176.105.199.19,52024
179.127.242.44,48570
185.180.221.222,8080
92.55.59.38,30359
185.132.178.208,1080
84.201.147.212,3128
165.22.238.100,8080
190.14.225.44,8080
178.18.62.195,80
182.52.74.89,41334
37.203.20.168,53281
185.108.128.110,80
162.243.108.161,8080
217.61.120.117,8080
194.5.157.233,3128
45.55.23.78,3128
5.135.155.111,3128
217.61.22.186,8080
103.242.13.69,8082
